"ARVI","ARVI_INTP","B","CMRI","CMRI_INTP","CVI","CVI_INTP","EVI_INTP","EVI_RMSE","G","GLI","GLI_INTP","IPVI","IPVI_INTP","MCARI1","MCARI1_INTP","MCARI2","MCARI2_INTP","N","NDTI","NDTI_INTP","NDVI","NDVI_INTP","NDWI","NDWI_INTP","NLI","NLI_INTP","N_INTP","OSAVI","OSAVI_INTP","R","R_INTP","TDVI","TDVI_INTP","TVI","TVI_INTP","TriVI","TriVI_INTP","WDRVI","WDRVI_INTP","landcover","cv_fold_id","repeat_cv_id"
0.7046447,0.7027935,0.0372,1.2029903,1.1940752,2.49478137423382,2.558918,2.0147943,0.2550883,0.0623,0.204446592556791,0.1978587,0.8264049,0.8225455,2710.56,2750.92,0.789144105918815,0.779363,0.2147,-0.16014898,-0.14896886,0.65280986,0.6450911,-0.5501805,-0.5489841,0.9998043,0.9998028,0.22089167,0.652769652369369,0.6450523,0.0451,0.0477125,1.18485115036921,1.1759834,1.07368983125186,1.0700363,108640,111008.28,-0.354964698813279,-0.3652648,"mangrove",1,34
0.7577556,0.7322649,0.0449,1.3872348,1.3463248,3.19318430856892,2.9779155,2.7181935,0.7343387,0.0702,0.202054794520548,0.19658804,0.87089014,0.8619628,4337.64,4164.99,0.832176036614491,0.82549393,0.3258,-0.18481013,-0.19028081,0.7417803,0.7239256,-0.6454545,-0.6223992,0.999909,0.99989545,0.31468695,0.741748548578516,0.72389376,0.0483,0.050173912,1.27759521209487,1.25807,1.11435195187803,1.106046,175260,169618.67,-0.194362017804154,-0.21884058,"mangrove",1,34
0.7181511,0.7002391,0.0375,1.2770787,1.2289128,2.72115090296908,2.707901,2.2258797,0.22065435,0.0594,0.198184568835098,0.18770535,0.8447894,0.83064467,2958.48,2996.5925,0.808944747173247,0.78527004,0.2286,-0.17159763,-0.15292555,0.6895787,0.66128933,-0.5875,-0.5676235,0.99983925,0.99982697,0.23869167,0.689537943063234,0.66125214,0.042,0.0491875,1.22436018999752,1.1915551,1.09067809823474,1.0772452,118920,121523.93,-0.295097132284921,-0.33247906,"mangrove",2,34
0.8087677,0.75274044,0.0277,1.4312582,1.3233081,3.44326016015682,3.0380263,2.326506,1.1752139,0.0519,0.243858597962852,0.21818894,0.8809684,0.8545871,3520.44,3363.4001,0.839878316637953,0.81284,0.262,-0.18900344,-0.17235605,0.7619368,0.7091742,-0.6693214,-0.6141339,0.9998969,0.99986315,0.25549167,0.761895795787718,0.70913583,0.0354,0.043704167,1.29729474644177,1.2419757,1.12335959757956,1.0992032,142560,138381.06,-0.149350649350649,-0.24619637,"mangrove",4,34
0.79737043,0.7232275,0.0262,1.4184644,1.2586734,3.32035464402072,2.920402,2.0942798,0.31364882,0.0474,0.238406270411496,0.19651179,0.8786389,0.8367152,3123,2962.2786,0.83996597785511,0.7859785,0.2324,-0.19245283,-0.15144832,0.7572779,0.67343044,-0.6611866,-0.585243,0.99988115,0.99980664,0.23642917,0.757232076698574,0.67339146,0.0321,0.0452875,1.29277563710871,1.2008449,1.12128403306108,1.0823145,126300,118602.586,-0.160101192627394,-0.3030893,"mangrove",5,34
0.724483,0.69069993,0.0413,1.3492085,1.2353936,2.86731780616078,2.595595,2.477463,0.37716955,0.0605,0.192705766387383,0.1913306,0.8642594,0.8348697,3448.2,3090.822,0.83378312315347,0.7977757,0.2585,-0.19683482,-0.17308055,0.7285189,0.66973937,-0.62068963,-0.5656542,0.99987847,0.99982995,0.241875,0.728479920833389,0.66970193,0.0406,0.047858335,1.2643716008336,1.1999311,1.10838571355072,1.0810378,138700,126896.93,-0.221971407072987,-0.31357032,"mangrove",4,34
0.77374125,0.73922,0.0355,1.3890196,1.317703,3.16179722222222,2.981339,2.301469,0.34731746,0.06,0.221995926680244,0.20669834,0.8718672,0.85315734,3716.52,3471.0505,0.83472148024316,0.8107004,0.2783,-0.18929633,-0.17591886,0.74373436,0.70631474,-0.64528525,-0.61138827,0.9998944,0.9998585,0.25973332,0.743697057791589,0.7062773,0.0409,0.0439375,1.27952061256073,1.2384632,1.11522837833316,1.0978072,150080,144726.55,-0.190164411465154,-0.24410678,"mangrove",3,34
0.73023254,0.73336416,0.0435,1.3300419,1.2907836,3.0130491548099,2.7216518,2.271475,0.25759703,0.0659,0.186318631863186,0.21651521,0.85609084,0.84944284,3638.64,3605.4453,0.815179150748873,0.81733495,0.279,-0.16843972,-0.18404987,0.7121816,0.6988857,-0.61786026,-0.59189796,0.9998795,0.99986094,0.26984584,0.712146688103683,0.6988501,0.0469,0.047170833,1.2478118318867,1.2328962,1.10099121286826,1.0947531,146860,149096.48,-0.254010695187166,-0.2730704,"mangrove",1,34
0.73972136,0.7102169,0.0383,1.3368372,1.2457639,2.95702251594432,2.7363358,2.2093394,0.2488048,0.0603,0.20059731209557,0.19180411,0.8590604,0.8352424,3367.08,3139.994,0.822119689882613,0.79238105,0.256,-0.17888562,-0.15671353,0.7181208,0.6704848,-0.6187164,-0.5752791,0.99987185,0.999837,0.247375,0.718082250617417,0.6704484,0.042,0.0485625,1.25386602461196,1.2026443,1.10368510244957,1.0816734,135720,129582.91,-0.242603550295858,-0.3213244,"mangrove",3,34
0.7660215,0.7537215,0.0272,1.3535488,1.3287048,3.17954554996291,2.9923072,2.207606,0.29545513,0.0463,0.210457516339869,0.21491644,0.86079663,0.856608,2682.6,3050.244,0.816767972908588,0.8182339,0.2053,-0.16477987,-0.17454053,0.7215933,0.71321595,-0.6319555,-0.61548895,0.99984246,0.9998474,0.22594167,0.721544885877677,0.7131721,0.0332,0.037433334,1.25737855853899,1.248342,1.10525711551865,1.1013796,108500,125498.01,-0.235808672994603,-0.24871749,"mangrove",5,34
