Classifier_Type,CV_ID,Fold,Accuracy,F1_Score,AUC,Precision,Recall,logloss
Stacking-RF-PT-Isotonic,82,3,0.978260869565217,0.980769230769231,0.981527977044476,0.962264150943396,1,0.604034187751097
Stacking-RF-PT-Isotonic,82,4,0.959390862944162,0.935483870967742,0.96911866759195,1,0.878787878787879,0.761975082092401
Stacking-RF-PT-Isotonic,82,5,0.902621722846442,0.896825396825397,0.910026933004152,0.957627118644068,0.843283582089552,3.24965793942723
Stacking-RF-PT-Isotonic,83,1,0.951111111111111,0.942408376963351,0.965923772609819,0.947368421052632,0.9375,1.14454405478755
Stacking-RF-PT-Isotonic,83,2,0.963541666666667,0.962566844919786,0.978206521739131,0.947368421052632,0.978260869565217,0.787081439559617
Stacking-RF-PT-Isotonic,83,3,0.945812807881773,0.932515337423313,0.972731804586241,0.974358974358974,0.894117647058824,0.921338557231398
Stacking-RF-PT-Isotonic,83,4,0.991071428571429,0.990909090909091,0.990985241324292,0.981981981981982,1,0.329635018986349
Stacking-RF-PT-Isotonic,83,5,0.903669724770642,0.91063829787234,0.939238339751819,0.955357142857143,0.869918699186992,2.20153496126034
Stacking-RF-PT-Isotonic,84,1,0.972332015810277,0.967741935483871,0.98115721355158,0.990566037735849,0.945945945945946,0.594038490479579
Stacking-RF-PT-Isotonic,84,2,0.958333333333333,0.956521739130435,0.968359879466208,0.933962264150943,0.98019801980198,1.18733269767585
Stacking-RF-PT-Isotonic,84,3,0.980487804878049,0.981981981981982,0.978975535168196,0.964601769911504,1,0.70526867641257
Stacking-RF-PT-Isotonic,84,4,0.898936170212766,0.891428571428572,0.934981892258941,0.962962962962963,0.829787234042553,2.33528810112754
Stacking-RF-PT-Isotonic,84,5,0.945,0.936416184971098,0.975909090909091,0.975903614457831,0.9,0.777132488631045
Stacking-RF-PT-Isotonic,85,1,0.923857868020305,0.927536231884058,0.936657681940701,0.950495049504951,0.905660377358491,2.23085595367897
Stacking-RF-PT-Isotonic,85,2,0.93717277486911,0.928571428571429,0.965633274492498,0.975,0.886363636363636,1.16613593915336
Stacking-RF-PT-Isotonic,85,3,0.972677595628415,0.968944099378882,0.982402912621359,0.962962962962963,0.975,0.63344547988671
Stacking-RF-PT-Isotonic,85,4,0.97071129707113,0.961325966850829,0.976523217982845,0.97752808988764,0.945652173913044,0.766654893217099
Stacking-RF-PT-Isotonic,85,5,0.972222222222222,0.975438596491228,0.97787610619469,0.952054794520548,1,0.730725929369166
Stacking-RF-PT-Isotonic,86,1,0.947826086956522,0.941747572815534,0.972306755934267,0.97,0.915094339622642,0.968605861756802
Stacking-RF-PT-Isotonic,86,2,0.955223880597015,0.952380952380952,0.96772591857001,0.957446808510638,0.947368421052632,1.10705840707542
Stacking-RF-PT-Isotonic,86,3,0.973404255319149,0.959349593495935,0.975555555555556,0.983333333333333,0.936507936507937,0.595717704877121
Stacking-RF-PT-Isotonic,86,4,0.943231441048035,0.949019607843137,0.952173235706496,0.975806451612903,0.923664122137405,1.76346825179869
Stacking-RF-PT-Isotonic,86,5,0.967289719626168,0.969162995594714,0.966346153846154,0.94017094017094,1,1.18161303510166
Stacking-RF-PT-Isotonic,87,1,0.972850678733032,0.9765625,0.979,0.954198473282443,1,0.669190873315439
Stacking-RF-PT-Isotonic,87,2,0.97008547008547,0.969957081545064,0.974095725246621,0.957627118644068,0.982608695652174,0.933616014378497
Stacking-RF-PT-Isotonic,87,3,0.925531914893617,0.922222222222222,0.940470801267542,0.965116279069768,0.882978723404255,2.14004880946356
Stacking-RF-PT-Isotonic,87,4,0.941964285714286,0.935323383084577,0.962585858585859,0.92156862745098,0.94949494949495,1.31333221450177
Stacking-RF-PT-Isotonic,87,5,0.964102564102564,0.948905109489051,0.971657633242999,1,0.902777777777778,0.765787040863801
