source,i1_mean,i2_mean,i3_mean,interp_std,knn_prob,logreg_prob,rf_prob,svc_prob,xgb_prob,models_std,stratum
cert,0.3,0.3,0.0,0.14142135623730953,0.13333334028720856,0.15893815457820892,0.009999999776482582,0.20339959859848022,0.020797036588191986,0.07682355329485278,Consensus
cert,0.5,0.3,0.7,0.16329931618554505,0.13333334028720856,0.09313908964395523,0.10999999940395355,0.11504916846752167,0.11370886862277985,0.012818669620210468,Consensus
cert,0.5,0.0,0.0,0.23570226039551584,0.0,0.038254790008068085,0.03999999910593033,0.04324691370129585,0.0067651704885065556,0.018379411340056814,Consensus
cert,0.5,0.0,0.0,0.23570226039551584,0.0,0.013218033127486706,0.0,0.013158977031707764,0.004225622396916151,0.005973721403761704,Consensus
cert,0.5,0.5,0.3,0.0942809041582062,0.0,0.02195298857986927,0.029999999329447746,0.027208823710680008,0.006100339815020561,0.011878897318074174,Consensus
cert,0.5,0.3,0.7,0.16329931618554505,0.0,0.011171541176736355,0.0,0.016078731045126915,0.0034254458732903004,0.006432148437112115,Consensus
cert,0.5,0.3,0.7,0.16329931618554505,0.0,0.02179902419447899,0.009999999776482582,0.02849789336323738,0.004508292302489281,0.010655599821476437,Consensus
cert,0.5,0.3,0.3,0.09428090415820606,0.13333334028720856,0.14654506742954254,0.07000000029802322,0.19206911325454712,0.12800464034080505,0.03914534176054074,Consensus
cert,0.5,0.3,0.3,0.09428090415820606,0.0,0.041408345103263855,0.009999999776482582,0.06248730793595314,0.024025700986385345,0.022325272825972364,Consensus
cert,0.5,0.0,0.3,0.20548046676563253,0.06666667014360428,0.011374801397323608,0.019999999552965164,0.011083331890404224,0.005292495712637901,0.022389364016977817,Consensus
cert,0.5,0.0,0.3,0.20548046676563253,0.0,0.012255721725523472,0.0,0.011986233294010162,0.004576976411044598,0.005453715337255704,Consensus
cert,0.5,0.7,0.3,0.16329931618554522,1.0,0.9912766218185425,0.9900000095367432,0.9686776995658875,0.9943276047706604,0.010662637293234752,Consensus
cert,0.5,0.3,0.0,0.20548046676563253,0.0,0.06643703579902649,0.009999999776482582,0.08938843011856079,0.020817866548895836,0.03455548591424414,Consensus
cert,0.5,0.3,0.7,0.16329931618554505,0.13333334028720856,0.08974718302488327,0.05000000074505806,0.10113752633333206,0.020875105634331703,0.03943903002887531,Consensus
cert,0.5,0.3,0.3,0.09428090415820606,0.2666666805744171,0.14994032680988312,0.05000000074505806,0.1725739985704422,0.09128108620643616,0.07415155838411554,Consensus
