system:index,ARVI,ARVI_INTP,B,CMRI,CMRI_INTP,CVI,CVI_INTP,EVI_INTP,EVI_RMSE,G,GLI,GLI_INTP,IPVI,IPVI_INTP,MCARI1,MCARI1_INTP,MCARI2,MCARI2_INTP,N,NDTI,NDTI_INTP,NDVI,NDVI_INTP,NDWI,NDWI_INTP,NLI,NLI_INTP,N_INTP,OSAVI,OSAVI_INTP,R,R_INTP,TDVI,TDVI_INTP,TVI,TVI_INTP,TriVI,TriVI_INTP,WDRVI,WDRVI_INTP,cloudy_B,cloudy_G,cloudy_N,cloudy_R,landcover,latitude,longitude,.geo
1_0000000000000000016b_0,0.75596267,0.7122095,0.035300000000000005,1.3369701,1.2548748,3.2506124818921616,2.8827026,2.203978,0.4180272,0.058100000000000006,0.1936312275295326,0.18678863,0.85464334,0.8355769,3267.9599999999996,3091.7644,0.8042015461196783,0.784442,0.254,-0.14708786,-0.14934152,0.7092867,0.67115384,-0.62768346,-0.583721,0.99986607,0.9998324,0.24547084,0.7092484926787253,0.6711169,0.0432,0.04815,1.2448401648933238,1.2003652,1.0996757138535433,1.0815371,132440.0,128490.43,-0.2594752186588921,-0.31019235,0.038400000000000004,0.058300000000000005,0.23040000000000002,0.0431,mangrove,21.982113879267335,89.716860217649,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000016c_0,0.7223237,0.7074266,0.038,1.3196328,1.2508225,3.1001148869851285,2.8826632,2.2268884,0.25406235,0.055900000000000005,0.1712938711367208,0.17737503,0.8515173,0.83423674,3033.12,2896.6323,0.8043685858802841,0.78439313,0.23570000000000002,-0.15257733,-0.14199644,0.7030347,0.6684735,-0.61659807,-0.58234906,0.99985206,0.99982584,0.23084584,0.7029940465869026,0.66843456,0.041100000000000005,0.045908332,1.238392829345301,1.2009156,1.0968293769228306,1.0808098,122680.0,117141.75,-0.2710685016236276,-0.32615224,0.0489,0.0596,0.22840000000000002,0.0504,mangrove,22.072481056121855,89.41866957948264,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000016e_0,0.77556443,0.75246865,0.033800000000000004,1.3883405,1.3198509,2.9698736637512146,2.9864361,2.1374283,0.16094454,0.058800000000000005,0.23919915700737618,0.21429086,0.87442774,0.8535135,3615.8399999999997,3360.0166,0.8452159396004141,0.8111831,0.2674,-0.20987654,-0.16926646,0.7488555,0.707027,-0.639485,-0.61282396,0.9998926,0.99986356,0.25610417,0.7488162816857196,0.7069889,0.038400000000000004,0.044120833,1.2845578334425687,1.240962,1.1175220181659407,1.0984098,145560.0,139198.64,-0.17899907890696953,-0.25626048,0.045000000000000005,0.067,0.22740000000000002,0.0521,mangrove,22.329204637627633,89.60065199653862,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000016f_0,0.8246597,0.77347696,0.0219,1.4499,1.347377,3.1991755993273845,3.056639,2.1468065,0.39862248,0.0449,0.28285714285714286,0.23365164,0.8895394,0.8608225,3133.2,3270.3333,0.8593509701297999,0.8189471,0.22790000000000002,-0.22677596,-0.18239367,0.77907884,0.721645,-0.67082113,-0.625732,0.99989104,0.9998526,0.24101667,0.7790301932744248,0.7216028,0.028300000000000002,0.038416665,1.313698241015729,1.2544931,1.1309636796345917,1.1048262,126400.0,136010.56,-0.10784889410843608,-0.21993001,0.0313,0.053500000000000006,0.25630000000000003,0.0391,mangrove,22.266326820957897,89.75988125525772,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000170_0,0.75301206,0.72745746,0.0369,1.3410589,1.2722417,2.9195400784280654,2.8106608,2.1637125,0.24327888,0.0616,0.21739130434782608,0.20098156,0.8609468,0.8416363,3463.3199999999997,3295.3015,0.8265664660123923,0.79861885,0.2619,-0.18575554,-0.1599745,0.7218935,0.6832726,-0.61916536,-0.5889691,0.9998767,0.9998522,0.25830832,0.7218555237068399,0.6832366,0.042300000000000004,0.0488,1.2576931329633045,1.2167015,1.1053929125538395,1.0876285,139480.0,136229.14,-0.2352168199737187,-0.30135626,0.054700000000000006,0.0775,0.25830000000000003,0.0618,mangrove,21.988590455391773,89.21817611835601,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000171_0,0.7819294,0.7339745,0.032100000000000004,1.4055415,1.3143457,2.7687773156899813,2.5108154,2.5481222,0.38054633,0.0575,0.26373626373626374,0.23965101,0.8825707,0.8598419,3627.12,3397.3533,0.8643393925600648,0.8398676,0.26230000000000003,-0.24458875,-0.22653927,0.7651413,0.7196838,-0.64040023,-0.5946619,0.99989855,0.99986565,0.25184584,0.7651001291989664,0.71964395,0.0349,0.0410625,1.3003863387406145,1.2523726,1.124785010113986,1.103918,145480.0,139559.36,-0.14182888925241288,-0.22293049,0.0334,0.0618,0.2883,0.0335,mangrove,21.855622466221245,89.70730474814029,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000172_0,0.74341863,0.7200525,0.0346,1.342119,1.2569703,3.06649410683391,2.8169732,2.130721,0.26195827,0.054400000000000004,0.1956043956043956,0.19714479,0.8589697,0.8372375,3076.08,2962.066,0.8178435465581435,0.7906431,0.2351,-0.16989248,-0.15629898,0.7179394,0.67447495,-0.6241796,-0.5824954,0.99986035,0.99982256,0.22680417,0.7178973826886262,0.67443454,0.0386,0.044220835,1.2536779883640843,1.2051442,1.103602894909625,1.0832485,124220.0,123735.64,-0.24295604572532598,-0.30769715,0.0264,0.0398,0.22290000000000001,0.0245,mangrove,22.048613838687576,89.59516724273988,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000173_0,0.69852424,0.66448313,0.0429,1.2723181,1.1946347,2.6734007068014134,2.4374564,2.6706822,0.54288614,0.0635,0.18414918414918416,0.18015356,0.8442193,0.8255763,3133.08,3052.8147,0.8102495352484341,0.79111254,0.2417,-0.17483811,-0.16946758,0.6884387,0.6511526,-0.5838794,-0.543482,0.9998473,0.99981374,0.23356667,0.6884002291174787,0.6511154,0.0446,0.04929583,1.2231638488660608,1.1808754,1.0901553562055455,1.0725923,125820.0,126019.66,-0.29707721390141045,-0.34920254,0.048600000000000004,0.06330000000000001,0.1738,0.046200000000000005,mangrove,21.885367189661043,89.4215833549382,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000174_0,0.76653695,0.72550595,0.033,1.3520268,1.2563784,3.111343235469153,2.7349863,2.0984266,0.17986721,0.0568,0.21627408993576017,0.20490234,0.8613315,0.8383217,3275.7599999999998,2937.016,0.820004355314476,0.79743266,0.2497,-0.17113402,-0.16067503,0.722663,0.6766433,-0.6293638,-0.5797351,0.9998711,0.99982667,0.23010416,0.7226231046234082,0.67660326,0.0402,0.044175,1.2584695927594856,1.2099237,1.1057409222946297,1.0846192,132340.0,116879.0,-0.23369648611324226,-0.31365633,0.0339,0.0606,0.28290000000000004,0.040100000000000004,mangrove,22.3637238508435,89.47501685483668,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000175_0,0.8113537,0.8127559,0.0324,1.4406315,1.4362359,3.276981998429164,3.064427,2.1709492,0.19915546,0.061700000000000005,0.2598264420622767,0.28921524,0.88582003,0.88525766,4239.36,3926.6091,0.851754903011575,0.85138404,0.3111,-0.21218075,-0.24066365,0.77164006,0.77051526,-0.6689914,-0.66572064,0.99991715,0.9999072,0.28560418,0.7716049382716049,0.77047646,0.040100000000000004,0.037379168,1.306626706988631,1.3038659,1.1276702049429936,1.1268942,171240.0,164621.86,-0.1262463137199831,-0.099610515,0.0461,0.0763,0.3396,0.0636,mangrove,22.395263205433366,89.73031500431149,"{""type"":""MultiPoint"",""coordinates"":[]}"
