_stratum,_cluster_id,score1,score2,score3,lon,lat,score_mean,score_std,n_interpreters,ref_label,prob_final,prob_bin
consensus,consensus_568,1.0,1.0,0.7,89.59279201371461,22.36023328833626,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_570,0.3,0.7,0.7,89.33643680078231,21.863692378155005,0.5666666666666667,0.23094010767585027,3,1,0.0,0.0-0.3
consensus,consensus_571,1.0,0.7,0.7,89.44214313472546,22.03815393624574,0.7999999999999999,0.17320508075688776,3,1,0.7940000295639038,0.7-1.0
consensus,consensus_572,1.0,0.7,0.7,89.19448171503711,22.198623457127365,0.7999999999999999,0.17320508075688776,3,1,0.949999988079071,0.7-1.0
consensus,consensus_573,0.5,0.3,0.7,89.17010404728555,22.01286826027993,0.5,0.19999999999999998,3,1,0.004000000189989805,0.0-0.3
consensus,consensus_574,1.0,0.7,0.7,89.78033918593353,21.907953971655484,0.7999999999999999,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_576,1.0,0.7,0.7,89.41716051926905,22.38307256141981,0.7999999999999999,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_577,1.0,0.7,0.7,89.44782889385398,22.002804687720012,0.7999999999999999,0.17320508075688776,3,1,0.9860000014305115,0.7-1.0
consensus,consensus_578,0.0,0.3,0.7,89.1456882962738,22.1738553678545,0.3333333333333333,0.3511884584284246,3,0,0.0020000000949949026,0.0-0.3
consensus,consensus_579,1.0,1.0,0.7,89.440557902228,21.80066266980528,0.9,0.17320508075688776,3,1,1.0,0.7-1.0
consensus,consensus_580,1.0,1.0,0.7,89.76599568046268,22.03368510769297,0.9,0.17320508075688776,3,1,0.9520000219345093,0.7-1.0
consensus,consensus_581,1.0,1.0,0.7,89.23534249246929,22.222905175068203,0.9,0.17320508075688776,3,1,0.9739999771118164,0.7-1.0
consensus,consensus_582,1.0,1.0,0.7,89.0732781864272,21.791394712234172,0.9,0.17320508075688776,3,1,0.9660000205039978,0.7-1.0
consensus,consensus_583,1.0,1.0,1.0,89.73586375558035,22.37651977869597,1.0,0.0,3,1,1.0,0.7-1.0
consensus,consensus_584,1.0,1.0,1.0,89.84230809007018,22.12920829144295,1.0,0.0,3,1,1.0,0.7-1.0
consensus,consensus_585,1.0,1.0,1.0,89.82101621762396,21.885007020853372,1.0,0.0,3,1,1.0,0.7-1.0
consensus,consensus_587,0.3,0.3,1.0,89.17560245591746,22.038057322604775,0.5333333333333333,0.40414518843273806,3,1,0.11800000071525574,0.0-0.3
consensus,consensus_588,1.0,1.0,1.0,89.76617731468644,22.01942792273575,1.0,0.0,3,1,0.9980000257492065,0.7-1.0
consensus,consensus_589,1.0,0.7,1.0,89.38661481213427,22.433988038989536,0.9,0.17320508075688776,3,1,0.9860000014305115,0.7-1.0
consensus,consensus_590,0.0,0.3,1.0,89.29079968228245,22.211968607676248,0.43333333333333335,0.5131601439446883,3,0,0.00800000037997961,0.0-0.3
consensus,consensus_591,1.0,1.0,1.0,89.38225914977777,22.4179384125182,1.0,0.0,3,1,1.0,0.7-1.0
